(9.00,-6.00,-0.64)(9.00,-5.00,-0.42)(9.00,-4.00,-0.28)(9.00,-3.00,-0.07)(9.00,-2.00,0.03)(9.00,-1.00,0.12)(9.00,0.00,0.30)(9.00,1.00,0.70)(9.00,2.00,0.70)(9.00,3.00,0.81)(9.00,4.00,0.87)(9.00,5.00,1.02)(9.00,6.00,1.18)

(10.00,-6.00,-0.60)(10.00,-5.00,-0.37)(10.00,-4.00,-0.26)(10.00,-3.00,-0.05)(10.00,-2.00,0.05)(10.00,-1.00,0.14)(10.00,0.00,0.30)(10.00,1.00,0.73)(10.00,2.00,0.73)(10.00,3.00,0.81)(10.00,4.00,0.87)(10.00,5.00,1.02)(10.00,6.00,1.19)

(11.00,-6.00,-0.51)(11.00,-5.00,-0.28)(11.00,-4.00,-0.18)(11.00,-3.00,-0.02)(11.00,-2.00,0.08)(11.00,-1.00,0.20)(11.00,0.00,0.30)(11.00,1.00,0.77)(11.00,2.00,0.77)(11.00,3.00,0.80)(11.00,4.00,0.87)(11.00,5.00,1.02)(11.00,6.00,1.20)

(12.00,-6.00,-0.30)(12.00,-5.00,-0.13)(12.00,-4.00,-0.06)(12.00,-3.00,0.00)(12.00,-2.00,0.13)(12.00,-1.00,0.30)(12.00,0.00,0.30)(12.00,1.00,0.82)(12.00,2.00,0.82)(12.00,3.00,0.80)(12.00,4.00,0.87)(12.00,5.00,1.02)(12.00,6.00,1.41)

(13.00,-6.00,-0.24)(13.00,-5.00,-0.10)(13.00,-4.00,-0.04)(13.00,-3.00,0.01)(13.00,-2.00,0.13)(13.00,-1.00,0.30)(13.00,0.00,0.45)(13.00,1.00,0.82)(13.00,2.00,0.85)(13.00,3.00,0.87)(13.00,4.00,0.87)(13.00,5.00,1.02)(13.00,6.00,1.20)

(14.00,-6.00,-0.20)(14.00,-5.00,-0.08)(14.00,-4.00,-0.03)(14.00,-3.00,0.03)(14.00,-2.00,0.13)(14.00,-1.00,0.30)(14.00,0.00,0.52)(14.00,1.00,0.82)(14.00,2.00,0.85)(14.00,3.00,0.85)(14.00,4.00,0.87)(14.00,5.00,1.02)(14.00,6.00,1.19)

(15.00,-6.00,-0.17)(15.00,-5.00,-0.06)(15.00,-4.00,-0.01)(15.00,-3.00,0.04)(15.00,-2.00,0.13)(15.00,-1.00,0.30)(15.00,0.00,0.58)(15.00,1.00,0.82)(15.00,2.00,0.85)(15.00,3.00,0.85)(15.00,4.00,0.87)(15.00,5.00,1.02)(15.00,6.00,1.19)

(16.00,-6.00,-0.14)(16.00,-5.00,-0.04)(16.00,-4.00,-0.00)(16.00,-3.00,0.06)(16.00,-2.00,0.13)(16.00,-1.00,0.30)(16.00,0.00,0.62)(16.00,1.00,0.82)(16.00,2.00,0.87)(16.00,3.00,0.86)(16.00,4.00,0.87)(16.00,5.00,1.02)(16.00,6.00,1.18)

(17.00,-6.00,-0.12)(17.00,-5.00,-0.03)(17.00,-4.00,0.01)(17.00,-3.00,0.07)(17.00,-2.00,0.13)(17.00,-1.00,0.30)(17.00,0.00,0.65)(17.00,1.00,0.82)(17.00,2.00,0.88)(17.00,3.00,0.89)(17.00,4.00,0.89)(17.00,5.00,1.01)(17.00,6.00,1.17)

(18.00,-6.00,-0.10)(18.00,-5.00,-0.02)(18.00,-4.00,0.02)(18.00,-3.00,0.09)(18.00,-2.00,0.12)(18.00,-1.00,0.30)(18.00,0.00,0.67)(18.00,1.00,0.83)(18.00,2.00,0.88)(18.00,3.00,0.92)(18.00,4.00,0.92)(18.00,5.00,0.99)(18.00,6.00,1.16)

(19.00,-6.00,-0.09)(19.00,-5.00,-0.02)(19.00,-4.00,0.02)(19.00,-3.00,0.10)(19.00,-2.00,0.12)(19.00,-1.00,0.30)(19.00,0.00,0.69)(19.00,1.00,0.83)(19.00,2.00,0.88)(19.00,3.00,0.96)(19.00,4.00,0.96)(19.00,5.00,0.99)(19.00,6.00,1.16)

(20.00,-6.00,-0.07)(20.00,-5.00,-0.01)(20.00,-4.00,0.03)(20.00,-3.00,0.12)(20.00,-2.00,0.13)(20.00,-1.00,0.30)(20.00,0.00,0.71)(20.00,1.00,0.82)(20.00,2.00,0.88)(20.00,3.00,0.99)(20.00,4.00,0.99)(20.00,5.00,1.01)(20.00,6.00,1.17)

(21.00,-6.00,-0.06)(21.00,-5.00,0.00)(21.00,-4.00,0.04)(21.00,-3.00,0.14)(21.00,-2.00,0.14)(21.00,-1.00,0.30)(21.00,0.00,0.72)(21.00,1.00,0.82)(21.00,2.00,0.87)(21.00,3.00,1.03)(21.00,4.00,1.02)(21.00,5.00,1.02)(21.00,6.00,1.18)

(22.00,-6.00,-0.04)(22.00,-5.00,0.01)(22.00,-4.00,0.06)(22.00,-3.00,0.17)(22.00,-2.00,0.16)(22.00,-1.00,0.30)(22.00,0.00,0.74)(22.00,1.00,0.82)(22.00,2.00,0.87)(22.00,3.00,1.06)(22.00,4.00,1.05)(22.00,5.00,1.05)(22.00,6.00,1.19)

(23.00,-6.00,-0.03)(23.00,-5.00,0.03)(23.00,-4.00,0.08)(23.00,-3.00,0.20)(23.00,-2.00,0.19)(23.00,-1.00,0.30)(23.00,0.00,0.75)(23.00,1.00,0.82)(23.00,2.00,0.87)(23.00,3.00,1.07)(23.00,4.00,1.08)(23.00,5.00,1.08)(23.00,6.00,1.19)

(24.00,-6.00,-0.01)(24.00,-5.00,0.04)(24.00,-4.00,0.10)(24.00,-3.00,0.24)(24.00,-2.00,0.23)(24.00,-1.00,0.30)(24.00,0.00,0.77)(24.00,1.00,0.82)(24.00,2.00,0.87)(24.00,3.00,1.07)(24.00,4.00,1.10)(24.00,5.00,1.10)(24.00,6.00,1.20)

(25.00,-6.00,0.00)(25.00,-5.00,0.06)(25.00,-4.00,0.13)(25.00,-3.00,0.30)(25.00,-2.00,0.30)(25.00,-1.00,0.30)(25.00,0.00,0.80)(25.00,1.00,0.82)(25.00,2.00,0.87)(25.00,3.00,1.41)(25.00,4.00,1.17)(25.00,5.00,1.17)(25.00,6.00,1.41)
